               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10388,            0.026135,             0.08917,             0.61864,          0.00063939,          0.00034871,          8.1072e-05,            0.091607,            0.013696,            0.085732,            0.070056,           0.0033271,           0.0033271
                   1,             0.07818,            0.021196,            0.071927,             0.63428,             0.11437,            0.061825,            0.023148,            0.052967,            0.010524,            0.064629,            0.040023,           0.0066275,           0.0066275
                   2,            0.059821,            0.016534,            0.058083,             0.67353,             0.18639,             0.12454,            0.062905,            0.046017,           0.0092013,            0.055423,           0.0099572,           0.0098948,           0.0098948
                   3,            0.051349,            0.014271,            0.049351,             0.72961,             0.21198,             0.20036,            0.095979,            0.040129,           0.0079932,            0.045678,           0.0098515,           0.0098515,           0.0098515
                   4,            0.045799,            0.012807,            0.042718,             0.72494,             0.27445,             0.27381,             0.14976,            0.036799,           0.0074127,            0.040201,           0.0098515,           0.0098515,           0.0098515
                   5,            0.042301,            0.011961,            0.037709,              0.7768,             0.29877,             0.30977,             0.18105,            0.034531,           0.0071095,            0.036793,            0.009802,            0.009802,            0.009802
                   6,             0.04033,            0.011524,            0.034394,             0.88145,             0.28494,             0.34672,             0.20747,            0.032749,           0.0065551,            0.033381,           0.0097525,           0.0097525,           0.0097525
                   7,            0.038767,            0.010958,             0.03206,             0.86904,             0.32713,             0.38262,             0.23255,            0.032357,           0.0065367,            0.030927,            0.009703,            0.009703,            0.009703
                   8,            0.037295,            0.010565,            0.029139,             0.85207,              0.3547,             0.41748,             0.26059,            0.031831,           0.0063355,            0.027247,           0.0096535,           0.0096535,           0.0096535
                   9,            0.036198,            0.010459,            0.027105,             0.88566,             0.36984,             0.47582,             0.30447,            0.029047,            0.006052,            0.025157,            0.009604,            0.009604,            0.009604
                  10,            0.035649,            0.010137,            0.025519,             0.87125,             0.37126,             0.48157,             0.30735,            0.029465,            0.006104,            0.024087,           0.0095545,           0.0095545,           0.0095545
                  11,            0.035047,           0.0099204,            0.023768,             0.77853,              0.4336,             0.57038,             0.37829,            0.028278,           0.0057874,            0.021839,            0.009505,            0.009505,            0.009505
                  12,             0.03454,            0.009786,            0.022356,             0.75675,             0.47547,             0.57712,             0.37288,            0.028704,            0.005682,            0.020173,           0.0094555,           0.0094555,           0.0094555
                  13,            0.033488,           0.0095339,            0.020784,             0.53294,             0.62791,             0.64655,             0.42862,            0.027721,           0.0056676,            0.018867,            0.009406,            0.009406,            0.009406
                  14,            0.033533,           0.0094235,            0.019506,             0.57652,             0.65727,             0.68238,             0.44719,            0.027559,           0.0056643,            0.017397,           0.0093565,           0.0093565,           0.0093565
                  15,            0.032911,           0.0092214,            0.018409,             0.63506,             0.69862,              0.7032,             0.47192,            0.026783,           0.0054176,            0.015697,            0.009307,            0.009307,            0.009307
                  16,            0.032623,           0.0090113,             0.01738,             0.64512,             0.71976,             0.74986,             0.50231,            0.027326,           0.0055208,            0.014042,           0.0092575,           0.0092575,           0.0092575
                  17,            0.032381,           0.0090371,             0.01653,             0.70109,             0.74391,             0.75699,             0.51564,            0.026257,           0.0053552,            0.013625,            0.009208,            0.009208,            0.009208
                  18,            0.031793,           0.0089649,            0.015337,              0.7563,             0.71878,             0.79938,             0.54112,            0.025943,           0.0051993,            0.012416,           0.0091585,           0.0091585,           0.0091585
                  19,            0.032111,           0.0089673,            0.014807,              0.6967,             0.78221,             0.78833,             0.53428,            0.025967,           0.0052722,            0.010984,            0.009109,            0.009109,            0.009109
                  20,            0.031478,           0.0087586,            0.013412,             0.77524,             0.77345,             0.82524,             0.55992,            0.025685,           0.0051279,            0.010574,           0.0090595,           0.0090595,           0.0090595
                  21,            0.031118,           0.0086208,            0.012564,             0.77543,             0.79291,             0.83835,             0.57634,            0.025588,            0.005096,           0.0093408,             0.00901,             0.00901,             0.00901
                  22,            0.030868,           0.0086236,            0.012319,             0.77597,             0.78784,             0.83661,             0.57026,            0.025316,           0.0051322,           0.0095341,           0.0089605,           0.0089605,           0.0089605
                  23,            0.030977,           0.0085203,             0.01199,             0.85518,             0.76336,             0.86774,             0.60085,            0.025304,           0.0051509,           0.0082681,            0.008911,            0.008911,            0.008911
                  24,            0.030846,           0.0084649,            0.011276,             0.81984,             0.83865,             0.88817,             0.61515,             0.02465,           0.0050278,           0.0080339,           0.0088615,           0.0088615,           0.0088615
                  25,            0.030345,           0.0083597,            0.010135,             0.81878,             0.83117,              0.8775,             0.60325,            0.024672,           0.0050297,           0.0075786,            0.008812,            0.008812,            0.008812
                  26,            0.029971,            0.008211,           0.0099663,              0.8248,             0.85834,             0.89288,             0.63331,            0.024026,            0.004973,           0.0071589,           0.0087625,           0.0087625,           0.0087625
                  27,            0.029932,           0.0084164,           0.0097864,             0.82685,             0.88945,             0.90955,              0.6479,            0.023675,            0.004856,           0.0064999,            0.008713,            0.008713,            0.008713
                  28,            0.029556,           0.0081503,             0.00918,             0.87763,             0.86024,             0.91596,              0.6538,            0.023695,           0.0048965,           0.0059604,           0.0086635,           0.0086635,           0.0086635
                  29,            0.029362,           0.0082176,           0.0087284,             0.87464,             0.88475,             0.91426,             0.66323,            0.022888,           0.0049304,           0.0057676,            0.008614,            0.008614,            0.008614
                  30,            0.029324,           0.0081731,           0.0086371,             0.90856,             0.88047,             0.91709,             0.65758,            0.023525,           0.0048348,           0.0058108,           0.0085645,           0.0085645,           0.0085645
                  31,            0.029189,           0.0080386,           0.0082736,             0.87893,             0.91034,             0.92861,              0.6696,            0.022984,           0.0047635,           0.0053815,            0.008515,            0.008515,            0.008515
                  32,            0.028775,           0.0081116,           0.0081523,             0.91489,             0.89761,             0.92451,             0.67125,            0.022386,           0.0047737,            0.005196,           0.0084655,           0.0084655,           0.0084655
                  33,            0.028497,           0.0078842,           0.0076924,             0.93657,             0.89757,             0.92879,             0.66984,            0.022722,           0.0047359,           0.0046672,            0.008416,            0.008416,            0.008416
                  34,            0.028572,           0.0079201,           0.0073248,             0.94705,             0.89549,             0.93159,             0.67237,            0.022452,           0.0046447,           0.0046111,           0.0083665,           0.0083665,           0.0083665
                  35,             0.02808,           0.0077628,           0.0071165,             0.94722,             0.90021,             0.93296,             0.67889,            0.022212,           0.0046168,           0.0040346,            0.008317,            0.008317,            0.008317
                  36,            0.028165,           0.0078191,           0.0069007,             0.95073,             0.88762,             0.93618,             0.68512,            0.021952,           0.0046312,           0.0043441,           0.0082675,           0.0082675,           0.0082675
                  37,            0.027863,           0.0077534,           0.0066107,             0.94307,             0.90862,             0.94178,             0.69242,            0.021743,            0.004572,           0.0040779,            0.008218,            0.008218,            0.008218
                  38,            0.027536,           0.0076702,           0.0065074,             0.95549,             0.89662,             0.94241,             0.69474,            0.021388,           0.0045653,           0.0038675,           0.0081685,           0.0081685,           0.0081685
                  39,            0.027451,           0.0076041,           0.0064505,             0.94764,             0.88285,             0.93325,             0.68598,            0.021224,           0.0045307,           0.0039057,            0.008119,            0.008119,            0.008119
                  40,            0.027107,           0.0075697,           0.0059781,             0.95247,             0.90277,             0.94821,              0.7064,            0.021051,           0.0044692,           0.0036373,           0.0080695,           0.0080695,           0.0080695
                  41,            0.027114,           0.0074258,           0.0059967,             0.95247,              0.9085,             0.94492,             0.69666,            0.020875,           0.0044271,           0.0034637,             0.00802,             0.00802,             0.00802
                  42,            0.026987,           0.0075828,           0.0057021,             0.95449,              0.9073,             0.94843,             0.69776,            0.020631,            0.004383,           0.0034631,           0.0079705,           0.0079705,           0.0079705
                  43,            0.026874,           0.0073874,           0.0059518,             0.94785,             0.91179,             0.94696,             0.71239,            0.020394,           0.0043916,           0.0034584,            0.007921,            0.007921,            0.007921
                  44,            0.026584,           0.0073308,           0.0056231,              0.9479,             0.92567,             0.95276,             0.71908,            0.020212,           0.0043477,           0.0031065,           0.0078715,           0.0078715,           0.0078715
                  45,            0.026673,           0.0074268,           0.0057112,             0.95711,             0.92068,             0.95048,             0.71164,            0.020261,           0.0043586,           0.0031387,            0.007822,            0.007822,            0.007822
                  46,            0.026158,           0.0074118,           0.0055413,             0.96251,             0.90111,             0.94399,             0.70923,            0.020066,           0.0043366,           0.0029406,           0.0077725,           0.0077725,           0.0077725
                  47,            0.026369,           0.0072383,           0.0051097,             0.94878,             0.91898,             0.94748,             0.71231,            0.019803,           0.0042729,           0.0027862,            0.007723,            0.007723,            0.007723
                  48,            0.026196,           0.0074808,           0.0055902,             0.95703,              0.9276,             0.95137,             0.71994,            0.019715,           0.0042649,           0.0027377,           0.0076735,           0.0076735,           0.0076735
                  49,            0.026199,           0.0072534,           0.0052591,             0.95752,             0.92185,             0.95345,             0.72355,            0.019732,           0.0042926,           0.0027875,            0.007624,            0.007624,            0.007624
                  50,            0.025751,           0.0072816,            0.005079,             0.96508,             0.91537,             0.94924,             0.72646,            0.019349,           0.0043123,           0.0027585,           0.0075745,           0.0075745,           0.0075745
                  51,            0.025911,           0.0072305,           0.0050937,             0.94386,             0.91402,             0.94817,             0.71885,            0.019463,           0.0042878,           0.0029555,            0.007525,            0.007525,            0.007525
