                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2073,                 5.2523,                 1.1492,                0.65525,                 0.4792,                0.51674,                0.36071,                      0,                    inf,                      0,               0.070066,              0.0033261,              0.0033261
                      1,                 1.1422,                 1.9631,                 1.0992,                0.70615,                0.63096,                0.69087,                0.48072,                      0,                    inf,                      0,               0.039802,              0.0063957,              0.0063957
                      2,                 1.1813,                 1.7915,                 1.1143,                0.71473,                0.66728,                0.72387,                0.48448,                      0,                    inf,                      0,              0.0092741,              0.0092013,              0.0092013
                      3,                 1.2112,                 1.7396,                 1.1329,                0.68567,                0.71758,                0.74375,                0.49958,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      4,                 1.1985,                 1.6014,                 1.1355,                0.72463,                0.76633,                0.80389,                0.56843,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      5,                 1.1783,                 1.4639,                 1.1383,                0.76472,                0.82631,                0.83366,                0.57853,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                      6,                  1.129,                 1.3488,                 1.1123,                0.81608,                0.83197,                0.84593,                0.59744,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                      7,                 1.1042,                 1.2767,                 1.1024,                0.76048,                0.81569,                0.85087,                0.60247,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                      8,                 1.0777,                  1.198,                 1.0862,                0.80596,                0.84253,                0.86339,                0.62164,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                      9,                 1.0529,                 1.1515,                 1.0769,                0.84013,                0.84198,                0.85676,                 0.6132,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     10,                 1.0235,                 1.1093,                 1.0638,                0.85837,                0.83008,                0.88975,                0.64382,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     11,                0.99399,                 1.0547,                 1.0491,                0.82141,                0.86877,                0.88635,                0.64705,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     12,                0.97037,                0.99975,                 1.0326,                0.83079,                0.86881,                0.89041,                 0.6565,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     13,                 0.9503,                0.95662,                 1.0262,                0.84108,                0.89695,                0.89863,                0.67238,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     14,                0.92046,                0.93311,                 1.0113,                0.85261,                0.85692,                0.89551,                 0.6556,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     15,                0.88791,                0.85358,                 1.0193,                0.84305,                0.88358,                0.89227,                0.66343,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     16,                0.86191,                0.80882,                0.99908,                0.83501,                0.88127,                 0.8999,                0.68481,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     17,                0.83872,                0.78317,                0.98482,                0.81274,                0.90086,                0.89603,                0.68814,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     18,                0.80614,                0.74845,                0.97333,                0.84077,                0.89689,                0.90314,                0.68958,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     19,                0.77454,                0.70998,                0.95451,                 0.8362,                0.89657,                0.90289,                0.68835,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     20,                0.75181,                0.67481,                0.94773,                0.85289,                0.89432,                0.90241,                0.69484,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     21,                0.72687,                0.65588,                0.93748,                0.84629,                0.91059,                0.90898,                0.70375,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     22,                0.69228,                0.62597,                0.92383,                0.83882,                 0.8868,                0.90417,                0.71391,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     23,                0.67074,                0.60008,                0.91404,                0.85669,                0.89358,                0.90527,                0.71524,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     24,                0.64403,                0.57471,                0.90498,                0.82746,                0.91949,                0.90499,                0.71065,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
